,Rating,Total User Ratings,Address,City,State,Lat,Long_,Restaurant
131,3.5,2243,"8030 Nicollet Ave, Bloomington","8030 Nicollet Ave, Bloomington",MN,44.8578538,-93.27917149999999,McDonald's
132,3.5,922,"2705 Annapolis Cir N, Plymouth","2705 Annapolis Cir N, Plymouth",MN,45.0097975,-93.452406,McDonald's
133,3.3,1586,"1440 Stinson Blvd NE, Minneapolis","1440 Stinson Blvd NE, Minneapolis",MN,45.0027427,-93.22832149999999,McDonald's
134,3.5,1034,"6320 W Lake St, St Louis Park","6320 W Lake St, St Louis Park",MN,44.9424074,-93.3598664,McDonald's
135,3.3,1543,"916 W Broadway, Minneapolis","916 W Broadway, Minneapolis",MN,44.9998628,-93.29235659999999,McDonald's
136,3.5,1864,"1570 University Ave W, St Paul","1570 University Ave W, St Paul",MN,44.9553975,-93.1654037,McDonald's
137,3.3,1325,"7685 W Broadway, Brooklyn Park","7685 W Broadway, Brooklyn Park",MN,45.0929418,-93.3772943,McDonald's
138,3.5,1466,"9530 Blackoaks Ln N, Maple Grove","9530 Blackoaks Ln N, Maple Grove",MN,45.1275434,-93.48909259999999,McDonald's
139,3.6,1316,"5200 Excelsior Blvd, St Louis Park","5200 Excelsior Blvd, St Louis Park",MN,44.93182300000001,-93.34710799999999,McDonald's
140,3.7,1007,"6645 Lyndale Ave S, Richfield","6645 Lyndale Ave S, Richfield",MN,44.8819916,-93.2868594,McDonald's
141,3.7,1058,"9529 Lyndale Ave S, Bloomington","9529 Lyndale Ave S, Bloomington",MN,44.830381,-93.2877338,McDonald's
142,3.6,1358,"4605 Central Ave NE, Minneapolis","4605 Central Ave NE, Minneapolis",MN,45.0521268,-93.2468777,McDonald's
143,3.4,1084,"3220 Southdale Cir, Edina","3220 Southdale Cir, Edina",MN,44.8821464,-93.31964339999999,McDonald's
144,3.3,1289,"1351 Town Centre Dr, Eagan","1351 Town Centre Dr, Eagan",MN,44.8298751,-93.16530809999999,McDonald's
145,3.5,922,"3990 Co Rd 42, Savage","3990 Co Rd 42, Savage",MN,44.7470477,-93.33001259999999,McDonald's
146,3.3,2022,"1388 Maryland Ave E, St Paul","1388 Maryland Ave E, St Paul",MN,44.97717,-93.0426569,McDonald's
